L 10/18/2019 - 00:01:01: SourceMod log file session started (file "L20191018.log") (Version "1.9.0.6282")
L 10/18/2019 - 00:01:01: [l4d2_skill_detect.smx] Charge carry start: 3 - 4 -- time: 88.40
L 10/18/2019 - 00:01:02: [l4d2_skill_detect.smx] Clear: 7 freed 4 from 3: time: 0.00 / 1.03 -- class: charger (with shove? 0)
L 10/18/2019 - 00:01:05: [l4d2_skill_detect.smx] Checking charge victim: 3 - 4 - flags: 1 (alive? 1)
L 10/18/2019 - 00:01:49: [l4d2_tankswap.smx] L4D_OnSpawnTank fired, creating Timer
L 10/18/2019 - 00:01:53: [l4d2_tankswap.smx] Initializing Tank Swap Menu, auto triggered
L 10/18/2019 - 00:01:53: [l4d2_tankswap.smx] Found valid Tank Swap Choice: Aegon Targaryen
L 10/18/2019 - 00:01:53: [l4d2_tankswap.smx] Found valid Tank Swap Choice: Roquie 4G
L 10/18/2019 - 00:01:53: [l4d2_tankswap.smx] Valid Tank Choices Amount: 2
L 10/18/2019 - 00:02:36: [admincheats.smx] <e.e><STEAM_1:1:179446251><181.199.157.134> was prevented from running cheat command 'give'
L 10/18/2019 - 00:02:46: [l4d2_skill_detect.smx] Clear: 7 freed 4 from 9: time: 1.19 / 4.13 -- class: smoker (with shove? 0)
L 10/18/2019 - 00:03:18: [l4d2_skill_detect.smx] Clear: 8 freed 1 from 9: time: 1.72 / -1.00 -- class: jockey (with shove? 0)
L 10/18/2019 - 00:03:23: [l4d2_skill_detect.smx] Charge carry start: 3 - 7 -- time: 230.26
L 10/18/2019 - 00:03:23: [l4d2_skill_detect.smx] Clear: 7 freed 7 from 3: time: 0.00 / 0.08 -- class: charger (with shove? 0)
L 10/18/2019 - 00:03:26: [l4d2_skill_detect.smx] Checking charge victim: 3 - 7 - flags: 1 (alive? 1)
L 10/18/2019 - 00:03:31: -------- Mapchange to c5m3_cemetery --------
L 10/18/2019 - 00:03:32: [sv_steamgroup_fixer.smx] Corrected sv_steamgroup ("33766243,27767513") from 33766244 to 33766243.
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motd_enabled") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motdfile") (value "mymotd.txt")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hostfile") (value "myhost.txt")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "-1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.015")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "100000")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tick_door_speed") (value "1.3")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_force_unreserved") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_visiblemaxplayers") (value "16")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxplayers") (value "16")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "chestbump_patch_enabled") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "mp_autoteambalance") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_unlag_fixstuck") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "z_brawl_chance") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_predict") (value "1")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_cmdrate_difference") (value "0")
L 10/18/2019 - 00:03:32: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_queries_sec_global") (value "10")
