L 10/29/2019 - 05:31:33: SourceMod log file session started (file "L20191029.log") (Version "1.9.0.6282")
L 10/29/2019 - 05:31:33: Log file closed.
L 10/29/2019 - 05:31:48: SourceMod log file session started (file "L20191029.log") (Version "1.9.0.6282")
L 10/29/2019 - 05:31:48: -------- Mapchange to c2m1_highway --------
L 10/29/2019 - 05:31:48: [GEOIP] GeoIP database info: GEO-106FREE 20180327 Build 1 Copyright (c) 2018 MaxMind Inc All Rights Reserved
L 10/29/2019 - 05:31:48: [GEOIPCITY] GeoIPCity database info: GEO-533LITE 20150106 Build 1 Copyright (c) 2015 MaxMind Inc All Rights Reserved
L 10/29/2019 - 05:31:48: [firebulletsfix.smx] Found offset for Weapon_ShootPosition 285
L 10/29/2019 - 05:31:51: [sv_steamgroup_fixer.smx] Corrected sv_steamgroup ("33766243,27767513") from 33766244 to 33766243.
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motd_enabled") (value "0")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "motdfile") (value "mymotd.txt")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "hostfile") (value "myhost.txt")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "l4d2_addons_eclipse") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allow_wait_command") (value "1")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 10/29/2019 - 05:31:51: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
